813,"57,600","37,100","37,100"
813,"393,400","424,800","424,800"
813,,,
813,,,
813,"38,900","42,100","44,700"
813,,,
813,,,
813,"26,500","24,600","24,600"
813,"30,100","32,800","32,800"
813,"336,600","296,700","313,000"
813,,,
813,,,
813,,,
813,"69,800","76,600","69,300"
813,,,
813,,,
813,"19,900","19,000","19,000"
813,"39,400","26,100","26,100"
813,"270,300","299,500","299,500"
813,,,
813,,,
813,"91,500","95,400","95,000"
813,,,
813,"88,000","69,600","89,700"
813,,,
813,,,
813,"15,800","17,500","17,500"
813,"18,300","24,200","24,200"
813,"239,800","260,600","260,000"
813,,,
813,,,
813,,,
813,,,
813,,,
813,,,
813,,,
813,"15,900","16,500","16,500"
813,"35,300","23,200","23,200"
813,"218,800","239,800","240,000"
813,,,
813,,,
813,,,
813,"57,500","60,000","60,000"
813,,,
813,,,
813,,,
813,,,
813,"21,100","21,500","21,599"
813,"24,500","29,900","29,900"
813,"297,300","317,500","317,000"
813,"2,200",,
813,,,
813,,,
813,"63,000","60,900","60,750"
813,,,
813,,,
813,"22,200","19,700","22,000"
813,"32,000","28,800","28,800"
813,,"260,800","260,800"
813,,,
813,,,
813,"71,800","58,000","71,100"
813,,,
813,,,
813,"12,700","13,300","13,300"
813,"16,000","18,400","18,400"
813,,,
813,"79,400","73,100","78,450"
813,"67,200","140,000","140,000"
813,,,
813,"30,300","30,200","30,200"
813,,,
813,,,
813,,,
813,,,
813,"53,200","50,900","53,700"
813,"2,300",,
813,,,
813,"17,300","17,300","17,300"
813,"19,200","23,800","23,800"
813,"12,900",,
813,,,
813,,,
813,,,
813,"76,400","96,800","72,300"
813,"85,900","102,300",
813,"11,700","11,400","11,400"
813,,,
813,,,
813,"44,500","45,100","42,900"
813,"36,000","42,700",
813,,,
813,"10,400","9,600","9,600"
813,,,
813,"54,700","114,000","114,000"
813,,,
813,"95,100","121,200","95,400"
813,,,
813,,,
813,"16,400","17,400","17,400"
813,"18,400","23,400","23,400"
813,"153,500","180,600","180,600"
813,"2,100",,
813,"49,400","55,000","55,000"
813,"7,000","6,400","6,400"
813,"30,000","30,000","30,000"
813,,,
813,"84,800","71,300","94,800"
813,"104,200","109,800","110,000"
813,,,
813,,,
813,"11,000","11,400","11,400"
813,"-118,900","49,100","49,000"
813,,,
813,,,
813,"62,700","70,000",
813,,,
813,"11,600","12,000","12,000"
813,,,
813,,,
813,,,
813,"132,900","9,600",
813,"10,200","23,200","23,200"
813,,,
813,"33,500","50,000",
813,"6,700","30,100","30,100"
813,"4,000","4,000","4,000"
813,"23,900","95,000","95,000"
813,,,
813,"13,000","13,000","13,000"
813,"17,300","9,000","9,000"
813,"194,900","193,000","193,000"
813,"57,200",,
813,"78,800","132,000",
813,"7,700","5,500","5,500"
813,"105,300",,"105,000"
813,"28,300","6,000","6,000"
813,"23,000","80,000",
813,"3,800",,"2,800"
813,"20,500",,"12,300"
813,"63,200","62,400","62,400"
813,,,
813,,,
813,"1,400",,
813,"22,800",,
813,,,
813,,,
813,"6,000",,
813,"3,800",,
813,,,
813,"37,300","41,300","41,300"
813,300,"2,400","2,400"
813,"7,000","7,000","7,000"
813,"127,500","27,100","27,100"
813,,,
813,"3,300","3,300","3,300"
813,,,
813,,,
813,"48,300","47,500","52,200"
813,,,
813,"68,900","55,300","115,000"
813,"9,800","7,900","8,160"
813,,,
813,"2,200","4,600","4,600"
813,,,
813,"66,300","72,000","70,000"
813,,,
813,"108,100","68,200","180,000"
813,,,
813,,,
813,"2,600","2,600","2,600"
813,"13,000","11,100","11,100"
813,,,
813,"31,400","39,600","39,600"
813,,,
813,,,
813,,"2,000",
813,,,
813,,,
813,"2,200","1,900","2,040"
813,,,
813,,,
813,,,
813,"20,600",,"40,000"
813,"143,600","190,200","200,000"
813,"8,300","12,000","7,820"
813,"5,500","4,600","4,600"
813,"17,300","19,600","19,600"
813,"31,700",,"30,000"
813,"3,500","6,600","6,600"
813,"156,500","260,000","260,000"
813,"172,000",,
813,"1,500","1,800","1,800"
813,"47,200","49,800","57,300"
813,,,
813,"1,800","9,600","9,600"
813,"13,700","13,600","13,600"
813,,,
813,,,
813,,"1,200","2,000"
"813 סה""כ",15890100,"14,735,300","15,812,489"
814,,,
814,"87,600","97,000","88,050"
814,,,
814,,,
814,,,"300,000"
814,"1,000",,
814,,,
814,"32,000","50,000","120,000"
"814 סה""כ","120,600","147,000","508,050"
815,"46,300","57,700","57,700"
815,"247,000","265,000","265,000"
815,,,
815,,,
815,"275,000","275,000","275,000"
815,"152,400","160,000","160,000"
815,,,
815,,,
815,"936,500","508,400","508,000"
815,"16,300",,
815,"82,900","100,000","100,000"
815,,,
815,,,
815,,,
815,"18,800","22,200","22,200"
815,"23,300","23,300","23,300"
815,"520,800","532,300","532,300"
815,,,
815,"254,700","265,000","265,000"
815,"150,000","150,000","150,000"
815,"55,800","50,000","53,700"
815,,"20,000","150,000"
815,,,
815,,,
815,"1,000",,"120,000"
815,"400,000","400,000","400,000"
815,"24,300","27,000","26,400"
815,,,
815,"500,000","500,000","570,000"
815,,,
815,,"60,000","60,000"
815,"35,300","20,000",
815,"50,000","50,000","50,000"
815,"14,000",,"10,000"
815,"80,000","80,000","80,000"
815,,600,
815,"103,900","130,700","130,000"
815,,,
815,,,
815,,,
815,"112,100","92,700","300,000"
815,"17,300","24,500",
815,"202,000","215,300","220,000"
815,,,
815,,,
815,"275,000","275,000","275,000"
815,"138,600","170,700","170,700"
815,,,
815,,,
815,"911,300","643,600","643,000"
815,"15,600",,
815,"94,600","100,000","100,000"
815,"187,200","181,000","181,000"
815,,,
815,"66,500","77,200","70,000"
815,,,
815,,,
815,"16,900","16,900","16,900"
815,"-28,800","166,800","167,000"
815,,,
815,"283,300","185,000","185,000"
815,"78,900","100,000","100,000"
815,,,
"815 סה""כ",6358800,5945900,6437200
816,"43,500","150,000","150,000"
816,"32,500","41,000","41,000"
816,,,
816,"11,300","15,000",
816,,,
816,"2,600","2,700","2,550"
816,"15,000","15,000","150,000"
816,,,
816,"9,700","50,000","50,000"
"816 סה""כ","114,600","273,700","393,550"
817,"5,000","3,700","6,700"
817,"6,000",900,"5,494"
817,"8,800","14,900","8,040"
817,"28,500","24,000","23,584"
817,,,
817,"3,429,900","3,800,000","3,900,000"
817,"128,900","150,500","150,000"
817,,,"100,000"
817,"79,800","86,000","79,650"
817,"8,100","19,900","5,200"
817,"9,300","9,200","7,820"
817,"30,600","22,000","22,000"
817,,,
817,,,"220,000"
817,"200,300","269,100","49,100"
817,"419,200","362,100","407,500"
817,"1,800","2,100","2,100"
817,,,
817,"1,100","2,300","2,300"
817,"6,800","3,600","3,600"
817,"32,800","34,400","35,360"
817,"8,700","7,600","7,600"
817,"9,000","9,000","9,000"
817,"56,900","66,200","66,200"
817,,,
817,"40,000","75,000","60,000"
817,,,
817,,,
817,,,
817,"721,100","680,000","730,000"
817,,,
817,,,
817,,,
817,"1,214,500","1,522,700","1,550,000"
817,,,
817,,,
817,"1,874,800","1,580,000","1,700,000"
817,"1,652,500","2,200,000","2,200,000"
817,"3,885,700","3,000,000","3,600,000"
817,"5,016,100","7,000,000","6,200,000"
817,"17,400","7,000","17,000"
817,,,
"817 סה""כ",18893600,20952200,21168248
818,"105,200","226,000","133,650"
818,,,
818,"8,900","8,500","8,500"
818,"7,600","1,900","6,460"
818,,,
818,"180,000","180,000",
