,"241 סה""כ",,,,"-35,000","-45,500",0,,,,,,,,,,,,,,,,,,0,,,,,,,,
500990,244,1,מטה בטיחות בדרכים ,888888,"-135,800","-135,000","-160,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"244 סה""כ",,,,"-135,800","-135,000","-160,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
490,246,1,גנים ועיצוב הסביבה ,888888,"-44,900","-48,200","-15,300",,,,,,,,,,,,,,,,,,,,,,,,,,
540,246,1,פקיד היערות , ,"-149,500",0,"-400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"246 סה""כ",,,,"-194,400","-48,200","-415,300",,,,,,,,,,,,,,,,,,0,,,,,,,,
540,249,1,החזר מחברת ביטוח ,888888,"-129,800","-131,600","-5,600",,,,,,,,,,,,,,,,,,,,,,,,,,
,"249 סה""כ",,,,"-129,800","-131,600","-5,600",,,,,,,,,,,,,,,,,,0,,,,,,,,
420,269,1,הכנסות מרכז הדרכה ,616100,"-1,628,700","-1,300,000","-1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,
490,269,1,הכנסות שונות ,269000,"-1,797,000","-800,000","-800,000",,,,,,,,,,,,,,,,,,,,,,,,,,
691,269,1,הכנסות ריבית והצמדה-אורנה, ,"-4,400","-16,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
910,269,1,מענק-מ.הפנים -למרכז ,616100,"-1,523,100","-1,500,000","-1,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"269 סה""כ",,,,"-4,953,200","-3,616,000","-3,600,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
690,273,1,דיוידנט , ,"-1,000,000",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,"273 סה""כ",,,,"-1,000,000",0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,
410,281,1,פיקוח , ,"-144,400","-155,600","-151,300",,,,,,,,,,,,,,,,,,,,,,,,,,
490,281,1,קנסות בתי משפט ,281000,"-454,400","-459,900","-700,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"281 סה""כ",,,,"-598,800","-615,500","-851,300",,,,,,,,,,,,,,,,,,0,,,,,,,,
490,311,1,הכנסות מפעולות , ,"-48,100","-50,100","-45,200",,,,,,,,,,,,,,,,,,,,,,,,,,
920,311,1,השתת' הממשלה במינהל ,811000,"-57,700","-75,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
,"311 סה""כ",,,,"-105,800","-125,100","-45,200",,,,,,,,,,,,,,,,,,0,,,,,,,,
220,312,1,תלמידי חוץ , ,"-89,800","-116,700","-23,100",,,,,,,,,,,,,,,,,,,,,,,,,,
421,312,1,קרן קרב גני , ,"-2,463,200","-2,244,500","-3,120,000",,,,,,,,,,,,,,,,,,,,,,,,,,
721,312,1,מרכז גיל רך , ,"-5,000","-6,500","-5,800",,,,,,,,,,,,,,,,,,,,,,,,,,
722,312,1,הורים מילת , ,"-149,200","-160,700","-49,300",,,,,,,,,,,,,,,,,,,,,,,,,,
761,312,1,ימי מחלה שלא נוצלו , ,"49,400",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
920,312,1,"מ.החינוך-גנ""י ",812000,"-9,605,000","-9,500,000","-25,853,000",,,,,,,,,,,,,,,,,,,,,,,,,,
921,312,1,"גנ""י -יוח""א ", ,"-176,900","-137,400","-159,600",,,,,,,,,,,,,,,,,,,,,,,,,,
922,312,1,גנים יוחאי , ,"-11,800",0,"-26,500",,,,,,,,,,,,,,,,,,,,,,,,,,
927,312,1,תשלום הורים חומרים , ,"-73,800","-95,900","-99,200",,,,,,,,,,,,,,,,,,,,,,,,,,
929,312,1,הכנסות משרד החינוך , ,"-8,287,200","-7,000,000","-7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
300410,312,1,שכל'גני ילדים טרום ,812000,"-12,245,600","-11,200,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,
600220,312,1,תלמדי חוץ , ,-600,-800,-900,,,,,,,,,,,,,,,,,,,,,,,,,,
610220,312,1,רננים גן , ,"-4,200","-5,500","-12,500",,,,,,,,,,,,,,,,,,,,,,,,,,
610920,312,1,רננים , ,"-209,000","-210,000","-328,300",,,,,,,,,,,,,,,,,,,,,,,,,,
620220,312,1,לימן , ,"-69,000","-89,700","-168,400",,,,,,,,,,,,,,,,,,,,,,,,,,
620920,312,1,לימן , ,"-41,500","-45,500","-32,900",,,,,,,,,,,,,,,,,,,,,,,,,,
620921,312,1,גן לימן-65 , ,"-26,900","-25,100","-19,900",,,,,,,,,,,,,,,,,,,,,,,,,,
630920,312,1,הוצ נלוות חינוך מיוחד , ,"-8,100","-10,500","-6,900",,,,,,,,,,,,,,,,,,,,,,,,,,
640220,312,1,גן רעות , ,"-8,300","-10,800","-34,400",,,,,,,,,,,,,,,,,,,,,,,,,,
640920,312,1,גן רעות - 48 , ,"-75,200","-83,600","-24,900",,,,,,,,,,,,,,,,,,,,,,,,,,
640921,312,1,גן 48 רעות , ,"-13,000","-11,800","-9,800",,,,,,,,,,,,,,,,,,,,,,,,,,
650920,312,1,הוצ נלוות חינוך מיוחד , ,"-8,300","-10,800","-7,600",,,,,,,,,,,,,,,,,,,,,,,,,,
660220,312,1,גן טורמוס , ,"-3,100","-4,000","-4,500",,,,,,,,,,,,,,,,,,,,,,,,,,
660920,312,1,גן 20 טורמוס , ,"-3,700","-4,800","-7,600",,,,,,,,,,,,,,,,,,,,,,,,,,
670920,312,1,גן79 , ,"-74,200","-81,900","-24,500",,,,,,,,,,,,,,,,,,,,,,,,,,
670921,312,1,גן 79 , ,"-14,200","-12,400","-13,700",,,,,,,,,,,,,,,,,,,,,,,,,,
680920,312,1,גן נועם , ,"-75,500","-83,600","-25,300",,,,,,,,,,,,,,,,,,,,,,,,,,
680921,312,1,גן נועם הזנה , ,"-12,300","-9,900","-11,200",,,,,,,,,,,,,,,,,,,,,,,,,,
681220,312,1,גן שילו , ,"-24,900","-32,400","-22,000",,,,,,,,,,,,,,,,,,,,,,,,,,
681920,312,1,גן שלו , ,"-75,700","-83,600","-24,300",,,,,,,,,,,,,,,,,,,,,,,,,,
681921,312,1,הזנת יוחא שלו ידיד , ,"-14,700","-11,800","-12,500",,,,,,,,,,,,,,,,,,,,,,,,,,
682220,312,1,גן ידידות הילל , ,0,0,"-11,000",,,,,,,,,,,,,,,,,,,,,,,,,,
682920,312,1,גן הילל , ,"-75,400","-83,600","-25,400",,,,,,,,,,,,,,,,,,,,,,,,,,
682921,312,1,הזנת יוחא הלל ידידות , ,"-13,300","-11,800","-9,400",,,,,,,,,,,,,,,,,,,,,,,,,,
